ID,Feature,User Story,Expected Behavior,Status,Errors Found,Fix Applied
F25,VK Link Extraction,"As a user, VK links are found from href, regex, footer/header/nav","vk.com/m.vk.com/vk.cc detected and normalized",PASS,—,—
F26,TG Link Extraction,"As a user, Telegram links are found from href, regex, @mentions","t.me/telegram.me/telegram.org detected, @username extracted",PASS,—,—
F27,Social Media Other,"As a user, Instagram/YouTube/Odnoklassniki links are found","ig, yt, ok links detected from SOCIAL_DOMAINS",PASS,—,—
F28,AI Contact Analysis,"As a user, AI analyzes page text for contacts/LPR","Selected AI provider extracts emails, phones, VK, TG, people",PASS,—,—
F29,VK API Fallback,"As a user, if no VK link found, VK API searches for company","groups.search → users.search fallback",PASS,—,—
F30,Batch Processing,"As a user, multiple sites are processed in parallel","Semaphore(7) limits concurrent Playwright sessions",PASS,—,—
F31,Results DataFrame,"As a user, I see results in a table","Columns: Компания, Сайт, Телефон, VK, TG, MAX, Email, ЛПР, Адрес",PASS,—,—
F32,Metric Cards,"As a user, I see summary metrics below results","4 cards: Лидов, С телефонами, С email, Найден ЛПР",PASS,—,—
F33,Excel Download,"As a user, I can download results as .xlsx","File downloads with openpyxl formatting",PASS,—,—
F34,Clear Results,"As a user, I can clear all results","🗑️ Очистить button resets all state",PASS,—,—
F35,Stop Button,"As a user, I can stop ongoing search/enrichment","🛑 СТОП sets stop_requested=True",PASS,—,—
F36,Technical Log,"As a user, I can see technical log entries","Expander with reversed chronological entries, max 100",PASS,—,—
F37,Custom API Modal,"As a user, I can open add API modal","➕ Добавить API button opens modal form",PASS,—,—
F38,Custom API Save,"As a user, I can save custom API keys","Keys saved to .api_keys.enc (base64 encoded JSON)",PASS,—,—
F39,Custom API Delete,"As a user, I can delete saved custom APIs","Delete button removes from storage",PASS,—,—
F40,Custom API Checkboxes,"As a user, I can see saved custom APIs","Simplified: shows saved APIs as captions instead of disabled checkboxes",FIXED,"Disabled checkboxes with 'скоро' labels were confusing","Replaced with simple caption list showing saved API names"
F41,Dark Theme,"As a user, the app has dark theme","config.toml base=dark, CSS uses direct selectors",PASS,—,—
F42,CSS Radio Buttons,"As a user, selected radio buttons have proper contrast","Green background with dark text for selected options",PASS,—,—
F43,SearchApi Fallback to DDG,"As a user, if SearchApi fails, DuckDuckGo is used","search_searchapi falls back to search_duckduckgo",PASS,—,—
F44,DDG Library Fallback,"As a user, if ddgs library fails, lite.duckduckgo.com is scraped","HTTP scrape of lite.duckduckgo.com with regex extraction",PASS,—,—
F45,Error Handling Search,"As a user, search errors are logged but don't crash app","Specific exception types catch and log errors",FIXED,"Bare except: clauses swallowed all exceptions silently","Replaced with specific exception types (Exception, JSONDecodeError, etc.)"
F46,Error Handling Enrichment,"As a user, enrichment errors are logged per-site","Failed sites show error in log, don't stop batch",PASS,—,—
F47,Input Validation Niche,"As a user, empty niche is handled gracefully","Falls back to first HUNTER_QUERIES entry",PASS,—,—
F48,Input Validation City,"As a user, empty city is handled gracefully","Falls back to first REGION_COORDS entry",PASS,—,—
F49,Session State Management,"As a user, my data persists during session","hunter_data, raw_items, logs in st.session_state",PASS,—,—
F50,Footer Display,"As a user, I see footer with version and contacts","ЮгСпецСети | Охотник v3.0 | югспецсети.рф | t.me/Concreator",PASS,—,—
F51,Multiple Phone Storage,"As a user, ALL phones from a site are saved","All unique phones saved (up to 5), comma-separated",FIXED,"Only first phone saved at enricher.py:572","Changed to save all unique phones with deduplication"
F52,Punycode Domain Handling,"As a user, Cyrillic domain sites are not blocked","Only specific punycode aggregators blocked, not all xn-- domains",FIXED,"Blanket punycode check blocked ALL Cyrillic domains","Removed blanket check, added specific punycode aggregators to blocklist"
F53,AGGREGATOR_BODY_SIGNALS Duplication,"As a user, both files use same signals","Imported from search_providers.py, no duplication",FIXED,"Duplicated in enricher.py and search_providers.py","Added import from search_providers.py, removed local definitions"
F54,Dead Config Constants,"As a user, unused config constants are removed","FILTERS, MIN_PAUSE, MAX_PAUSE, MAX_REQUESTS_PER_HOUR removed",FIXED,"7 unused constants defined but never referenced","Removed dead code from config.py"
F55,Custom API Checkboxes Integration,"As a user, custom APIs appear in provider selection","Simplified to show saved APIs without broken checkboxes",FIXED,"Checkboxes disabled, no integration with AI pipeline","Replaced with simple caption list showing saved API names"
F56,Bare Except Clauses,"As a user, errors don't silently disappear","25+ bare except: replaced with specific exception types",FIXED,"Bare except: clauses swallowed all exceptions silently","Replaced all bare except: with Exception, JSONDecodeError, OSError, etc."
F57,Sync/Async Mixing,"As a user, sync requests in async context don't block","search_website() now uses aiohttp instead of requests",FIXED,"requests.get() called inside async function","Converted to aiohttp async client at enricher.py:48-63"
F58,ProgressBar Overflow,"As a user, progress bar doesn't exceed 100%","total_queries includes primary + secondary markers from start",FIXED,"total_queries calculated before secondary markers added","Changed to include both marker sets: len(PRIMARY) + len(SECONDARY)"
